Mode,Cycle,KL_Drift,ECE,Memory_Size
A-1,0,0.0002759297688802083,0.6777299880981447,0
A-1,1,0.0002759297688802083,0.7777299880981446,2
A-1,2,0.0002759297688802083,0.6777299880981447,3
A-1,3,0.0002759297688802083,0.6777299880981447,4
A-1,4,0.0002759297688802083,0.7777299880981446,6
A-1,5,0.0002759297688802083,0.6777299880981447,8
A-1,6,0.0002759297688802083,0.6777299880981447,9
A-1,7,0.0002759297688802083,0.7777299880981446,10
A-1,8,0.0002759297688802083,0.6777299880981447,11
A-1,9,0.0002759297688802083,0.6777299880981447,12
A-1,10,0.0002759297688802083,0.6777299880981447,13
A-2,0,0.0002759297688802083,0.6777299880981447,0
A-2,1,0.016876220703125,0.8777299880981445,1
A-2,2,0.006708780924479167,0.8777299880981445,2
A-2,3,0.016438802083333332,0.8777299880981445,3
A-2,4,0.011479695638020834,0.7777299880981446,5
A-2,5,0.0096435546875,0.7777299880981446,6
A-2,6,0.0205078125,0.7,7
A-2,7,0.020263671875,0.7777299880981446,9
A-2,8,0.013458251953125,0.7777299880981446,10
A-2,9,0.015096028645833334,0.85,11
A-2,10,0.020751953125,0.7777299880981446,12
A-3,0,0.0002759297688802083,0.6777299880981447,0
A-3,1,0.0169677734375,0.8777299880981445,2
A-3,2,0.018610636393229168,0.7500000000000001,3
A-3,3,0.016194661458333332,0.7777299880981446,4
A-3,4,0.0077667236328125,0.7777299880981446,5
A-3,5,0.014017740885416666,0.8777299880981445,6
A-3,6,0.026590983072916668,0.7777299880981446,8
A-3,7,0.021484375,0.9,10
A-3,8,0.029337565104166668,0.8777299880981445,11
A-3,9,0.038411458333333336,0.8777299880981445,12
A-3,10,0.006983439127604167,0.85,13
A-4,0,0.0002759297688802083,0.6777299880981447,0
A-4,1,0.014017740885416666,0.8,2
A-4,2,0.014439900716145834,0.7777299880981446,3
A-4,3,0.0203094482421875,0.8,4
A-4,4,0.015864054361979168,0.6500000000000001,5
A-4,5,0.019073486328125,0.7777299880981446,6
A-4,6,0.016179402669270832,0.9,7
A-4,7,0.010218302408854166,0.8777299880981445,9
A-4,8,0.015294392903645834,0.7777299880981446,10
A-4,9,0.010152180989583334,0.85,11
A-4,10,0.008875528971354166,0.7777299880981446,12
